URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,61,33,0.297872337,0.089609151,13.62337662,0.576739752,5.68004655,23.24675325,605,1049,2.908839779,1,7.437559581
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,56,37,0.204301073,0.142638037,8.15,0.469325153,3.447730061,17.6375,306,652,2.633707865,6,6.720858896
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,33,0.33333333,0.107142857,10.87058824,0.584415584,4.582001528,20,540,924,2.891708968,2,7.348484848
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,57,25,0.390243898,0.107894737,8,0.457894737,3.383157895,17.36842105,348,760,2.555102041,17,6.628947368
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,50,25,0.333333329,0.083426029,11.37974684,0.474972191,4.741887611,22.01265823,427,899,2.587955626,14,6.88320356
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,43,24,0.283582085,0.103875969,10.078125,0.472868217,4.220397287,20.25,305,645,2.675324675,18,6.815503876
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,12,0.351351342,0.097112861,8.466666667,0.464566929,3.572493438,16.33333333,177,381,2.644351464,7,6.774278215
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,0,0,0,0,0,0,0,0,0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,13,0.469387746,0.128947368,10.55555556,0.421052632,4.390643275,20.16666667,160,380,2.283950617,0,6.334210526
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,64,40,0.230769229,0.1015625,12.64197531,0.502929688,5.257961998,26.62962963,515,1024,2.733834586,9,6.87890625
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,45,65,-0.18181818,0.101946246,10.375,0.464318814,4.335727525,19,501,1079,2.579470199,1,6.722891566
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,34,19,0.283018863,0.081790123,11.17241379,0.564814815,4.694891443,20.5,366,648,2.869158879,10,7.439814815
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,27,24,0.058823528,0.076691729,8.109756098,0.455639098,3.426158078,15,303,665,2.586956522,6,6.592481203
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,60,24,0.428571423,0.116182572,11.47619048,0.53526971,4.804584074,26.84126984,387,723,2.818763326,21,7.204702628
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,66,23,0.483146062,0.107748184,9.951807229,0.493946731,4.178301584,19.75903614,408,826,2.62283737,9,6.972154964
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26,0,0.999999962,0.094545454,12.5,0.570909091,5.228363636,22.90909091,157,275,2.811518325,0,7.476363636
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,79,39,0.338983048,0.159675237,82.11111111,0.51014885,33.04850398,200.8888889,377,739,2.649805447,14,6.9797023
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,25,0,0.99999996,0.047984645,9.303571429,0.545105566,3.939470798,17.07142857,284,521,2.529032258,0,6.834932821
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,6,0.39999998,0.050632911,9.634146341,0.569620253,4.081506638,17.56097561,225,395,2.643382353,0,7.564556962
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.142857122,0.04375,13.33333333,0.5375,5.548333333,26.25,86,160,2.692307692,2,7.075
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,0,0,0,0,0,0,0,0,0
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,67,-0.472527467,0.123978201,13.10714286,0.502724796,5.443947061,24.55357143,369,734,2.631790744,2,6.79972752
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,17,14,0.09677419,0.085872576,12.44827586,0.468144044,5.166567963,24.82758621,169,361,2.533333333,3,6.756232687
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,57,37,0.212765955,0.105027933,8.063063063,0.458100559,3.408465449,17.41441441,410,895,2.756962025,10,6.818994413
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,3,0.860465096,0.121813031,8.022727273,0.498583569,3.408524337,15.27272727,176,353,2.617647059,4,6.883852691
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.59999988,0.024154589,12.17647059,0.410628019,5.034839443,22.05882353,85,207,2.434210526,0,6.444444444
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,21,9,0.399999987,0.047169811,12.97959184,0.424528302,5.361648055,23.24489796,270,636,2.368794326,4,6.133647799
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,22,8,0.466666651,0.086206896,14.5,0.548850575,6.01954023,25.625,191,348,2.834532374,1,7.293103448
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,15,8,0.304347813,0.126373626,6.5,0.505494505,2.802197802,13.85714286,92,182,2.642857143,0,7.214285714
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,5,0,0.9999998,0.051546391,8.818181818,0.494845361,3.725210872,14.81818182,48,97,2.604938272,1,7.041237113
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,23,33,-0.178571425,0.145833333,6.857142857,0.3671875,2.889732143,14.39285714,141,384,2.480314961,19,6.276041667
